survey_response_id,employee_scd_id,year,recommendation_rating,comment,has_comment
42,202300971,2023,9,"Work conditions are good overall and hybrid work is handled pragmatically. I appreciate the trust and autonomy; the management style feels genuinely empowering. Overall, I would recommend Skapa without hesitation.",True
43,202301288,2023,6,Management practices feel inconsistent and feedback is often too late to be useful.,True
44,202300637,2023,9,"Recognition and coaching are consistent, which helps me grow and perform. Overall, I would recommend Skapa without hesitation.",True
45,202300413,2023,7,I worry about competitiveness and the pace of adapting to market changes. Some tools and processes are slow and create friction in day-to-day delivery.,True
46,202300870,2023,7,Decision-making can feel top-down and recognition for effort is not always there. Pay progression feels slow compared with responsibilities and performance expectations.,True
47,202301183,2023,8,Career paths are becoming clearer and internal mobility feels realistic.,True
48,202301429,2023,9,"I appreciate the increased transparency from leadership on decisions and direction. Overall, I would recommend Skapa without hesitation.",True
49,202300929,2023,7,Training is available but time to actually use it is limited during peak delivery. Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk.,True
50,202300033,2023,10,"Recognition and coaching are consistent, which helps me grow and perform. Overall, I would recommend Skapa without hesitation.",True
51,202300448,2023,7,,False
52,202301420,2023,9,I can maintain a healthy balance most of the time and flexibility helps. I’m satisfied with my pay and the overall benefits package. I feel proud to be part of the company.,True
53,202301814,2023,8,Client exposure and variety of missions are a real strength of consulting here.,True
54,202300279,2023,9,,False
55,202301638,2023,7,,False
56,202300523,2023,9,The work feels meaningful because projects have clear impact for clients and society. I see real chances to progress based on merit and impact. I feel proud to be part of the company.,True
57,202301871,2023,6,Team cohesion varies by project and it can feel isolating when switching assignments.,True
58,202301314,2023,9,Supportive leadership and clear feedback make it easy to do great work. I feel proud to be part of the company.,True
59,202301369,2023,7,,False
60,202300381,2023,9,Work conditions are good overall and hybrid work is handled pragmatically. I feel proud to be part of the company.,True
61,202301058,2023,7,"Onboarding and integration were smooth, and the team culture is welcoming.",True
62,202301057,2023,8,Compensation feels competitive for the market and responsibilities.,True
63,202301153,2023,5,Recent uncertainty in priorities makes the long-term direction feel less clear.,True
64,202300344,2023,10,"Onboarding and integration were smooth, and the team culture is welcoming. I feel proud to be part of the company.",True
65,202300773,2023,7,,False
66,202300002,2023,7,"Onboarding and integration were smooth, and the team culture is welcoming. Internal collaboration can feel siloed and handoffs between teams are not always smooth.",True
67,202301759,2023,6,Pay progression feels slow compared with responsibilities and performance expectations. Workload peaks can be intense and staffing feels tight on some projects.,True
68,202301115,2023,6,Strategic priorities shift often and it can be hard to understand the direction. Pay progression feels slow compared with responsibilities and performance expectations.,True
69,202300126,2023,8,Skapa remains attractive with interesting missions and a solid reputation.,True
70,202301613,2023,8,Compensation feels competitive for the market and responsibilities.,True
71,202301609,2023,9,"Recognition and coaching are consistent, which helps me grow and perform. Innovation and a forward-looking strategy make the business feel resilient. I feel proud to be part of the company.",True
72,202300963,2023,7,Team spirit is strong and the atmosphere is friendly and supportive.,True
73,202300797,2023,8,,False
74,202300805,2023,7,,False
75,202301171,2023,8,"Team spirit is strong and the atmosphere is friendly and supportive. Recognition and coaching are consistent, which helps me grow and perform.",True
76,202301753,2023,5,I would like more structured development and transparency on growth opportunities.,True
77,202301189,2023,10,I appreciate the trust and autonomy; the management style feels genuinely empowering. Innovation and a forward-looking strategy make the business feel resilient. I feel proud to be part of the company.,True
78,202301718,2023,8,"Recognition and coaching are consistent, which helps me grow and perform.",True
79,202300228,2023,8,,False
80,202300843,2023,9,"I feel aligned with the values, especially inclusion, sustainability and fairness. Supportive leadership and clear feedback make it easy to do great work. Overall, I would recommend Skapa without hesitation.",True
81,202300187,2023,7,I would like more regular coaching and clearer expectations from leadership.,True
82,202300298,2023,7,"I would like more regular coaching and clearer expectations from leadership. Onboarding and integration were smooth, and the team culture is welcoming.",True
83,202301710,2023,7,"Career progression can feel unclear, especially around the criteria for promotion.",True
84,202300961,2023,7,"Decision-making can feel top-down and recognition for effort is not always there. Onboarding and integration were smooth, and the team culture is welcoming.",True
85,202300131,2023,7,,False
86,202301581,2023,9,"Digital tools and processes are improving and make delivery more efficient. Overall, I would recommend Skapa without hesitation.",True
87,202301253,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming.",True
88,202300270,2023,10,"Tools and logistics support delivery well, and the hybrid setup works smoothly. I feel proud to be part of the company.",True
89,202300836,2023,9,"Supportive leadership and clear feedback make it easy to do great work. Overall, I would recommend Skapa without hesitation.",True
90,202300468,2023,6,Workload peaks can be intense and staffing feels tight on some projects.,True
91,202300897,2023,9,I can maintain a healthy balance most of the time and flexibility helps. I feel proud to be part of the company.,True
92,202301342,2023,9,Team spirit is strong and the atmosphere is friendly and supportive. I feel proud to be part of the company.,True
93,202300287,2023,9,"Tools and logistics support delivery well, and the hybrid setup works smoothly. Overall, I would recommend Skapa without hesitation.",True
94,202301001,2023,7,,False
95,202301497,2023,7,Team spirit is strong and the atmosphere is friendly and supportive. Training is available but time to actually use it is limited during peak delivery.,True
96,202300023,2023,7,Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk. Decision-making can feel top-down and recognition for effort is not always there.,True
97,202300313,2023,7,,False
98,202300333,2023,8,Work conditions are good overall and hybrid work is handled pragmatically. I can maintain a healthy balance most of the time and flexibility helps.,True
99,202300224,2023,6,Team cohesion varies by project and it can feel isolating when switching assignments.,True
100,202300058,2023,7,Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk. Decision-making can feel top-down and recognition for effort is not always there.,True
101,202300117,2023,7,I would like more regular coaching and clearer expectations from leadership. The values are stated clearly but not always reflected in day-to-day decisions.,True
102,202301076,2023,7,Decision-making can feel top-down and recognition for effort is not always there.,True
103,202301312,2023,7,Pay progression feels slow compared with responsibilities and performance expectations.,True
104,202301165,2023,9,"Team spirit is strong and the atmosphere is friendly and supportive. Overall, I would recommend Skapa without hesitation.",True
105,202300062,2023,9,There is a genuine commitment to responsible consulting and a respectful culture. I feel proud to be part of the company.,True
106,202300752,2023,9,"The work feels meaningful because projects have clear impact for clients and society. Digital tools and processes are improving and make delivery more efficient. Overall, I would recommend Skapa without hesitation.",True
107,202301374,2023,9,,False
108,202301671,2023,6,Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk. Compensation has not kept pace with inflation and market benchmarks.,True
109,202301321,2023,8,I can maintain a healthy balance most of the time and flexibility helps.,True
110,202301123,2023,7,Team spirit is strong and the atmosphere is friendly and supportive. Bench periods and project allocation could be handled more consistently.,True
111,202300332,2023,7,"Compensation has not kept pace with inflation and market benchmarks. Onboarding and integration were smooth, and the team culture is welcoming.",True
112,202300768,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming. Cross-team collaboration is improving and it’s easier to work transversally.",True
113,202300539,2023,9,The work feels meaningful because projects have clear impact for clients and society. I’m satisfied with my pay and the overall benefits package. I feel proud to be part of the company.,True
114,202300191,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming.",True
115,202300776,2023,7,"Onboarding and integration were smooth, and the team culture is welcoming. I would like more regular coaching and clearer expectations from leadership.",True
116,202301508,2023,7,Decision-making can feel top-down and recognition for effort is not always there.,True
117,202301407,2023,8,"The company feels stable and well-positioned in the market, with strong client demand.",True
118,202301470,2023,8,Career paths are becoming clearer and internal mobility feels realistic.,True
119,202300839,2023,6,Team cohesion varies by project and it can feel isolating when switching assignments.,True
120,202300492,2023,9,"I appreciate the increased transparency from leadership on decisions and direction. Onboarding and integration were smooth, and the team culture is welcoming. Overall, I would recommend Skapa without hesitation.",True
121,202300685,2023,8,Team spirit is strong and the atmosphere is friendly and supportive.,True
122,202300891,2023,8,,False
123,202300544,2023,8,Cross-team collaboration is improving and it’s easier to work transversally.,True
124,202301062,2023,9,There is a genuine commitment to responsible consulting and a respectful culture. I feel proud to be part of the company.,True
125,202301138,2023,8,Team spirit is strong and the atmosphere is friendly and supportive.,True
126,202300195,2023,10,Compensation feels competitive for the market and responsibilities. I feel proud to be part of the company.,True
127,202300567,2023,8,,False
128,202300663,2023,6,Management practices feel inconsistent and feedback is often too late to be useful.,True
129,202301458,2023,10,I see real chances to progress based on merit and impact. I feel proud to be part of the company.,True
130,202300700,2023,7,Team spirit is strong and the atmosphere is friendly and supportive.,True
131,202301817,2023,8,Work conditions are good overall and hybrid work is handled pragmatically. Skapa remains attractive with interesting missions and a solid reputation.,True
132,202301684,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming.",True
133,202300086,2023,7,I worry about competitiveness and the pace of adapting to market changes. Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk.,True
134,202300535,2023,7,,False
135,202301548,2023,7,Management practices feel inconsistent and feedback is often too late to be useful.,True
136,202300987,2023,9,Skapa remains attractive with interesting missions and a solid reputation. I appreciate the trust and autonomy; the management style feels genuinely empowering. I feel proud to be part of the company.,True
137,202300902,2023,6,Sometimes the work feels less meaningful when priorities are driven mainly by utilization.,True
138,202301526,2023,7,Pay progression feels slow compared with responsibilities and performance expectations.,True
139,202301313,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming.",True
140,202300711,2023,9,"The company feels stable and well-positioned in the market, with strong client demand. Overall, I would recommend Skapa without hesitation.",True
141,202301858,2023,7,,False
142,202301311,2023,8,Career paths are becoming clearer and internal mobility feels realistic.,True
143,202301197,2023,9,"I appreciate the increased transparency from leadership on decisions and direction. The company feels stable and well-positioned in the market, with strong client demand. I feel proud to be part of the company.",True
144,202300322,2023,6,Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk. I worry about competitiveness and the pace of adapting to market changes.,True
145,202300704,2023,8,,False
146,202300503,2023,8,,False
147,202301781,2023,9,The work feels meaningful because projects have clear impact for clients and society. I feel proud to be part of the company.,True
148,202300444,2023,7,Team spirit is strong and the atmosphere is friendly and supportive. Compensation has not kept pace with inflation and market benchmarks.,True
149,202301648,2023,9,Innovation and a forward-looking strategy make the business feel resilient. I feel proud to be part of the company.,True
150,202300761,2023,7,Team spirit is strong and the atmosphere is friendly and supportive.,True
151,202301176,2023,7,"Career progression can feel unclear, especially around the criteria for promotion.",True
152,202300645,2023,8,Learning opportunities and projects help me build strong consulting skills.,True
153,202301604,2023,9,"Onboarding and integration were smooth, and the team culture is welcoming. I feel proud to be part of the company.",True
154,202300359,2023,9,Client exposure and variety of missions are a real strength of consulting here. I appreciate the trust and autonomy; the management style feels genuinely empowering. I feel proud to be part of the company.,True
155,202301170,2023,10,"Digital tools and processes are improving and make delivery more efficient. I can maintain a healthy balance most of the time and flexibility helps. Overall, I would recommend Skapa without hesitation.",True
156,202301353,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming.",True
157,202301047,2023,9,I’m satisfied with my pay and the overall benefits package. I feel proud to be part of the company.,True
158,202300404,2023,8,The work feels meaningful because projects have clear impact for clients and society.,True
159,202300695,2023,7,Recent uncertainty in priorities makes the long-term direction feel less clear.,True
160,202301619,2023,6,Work-life balance could improve; overtime can become the default during delivery.,True
161,202300171,2023,10,Supportive leadership and clear feedback make it easy to do great work. I’m satisfied with my pay and the overall benefits package. I feel proud to be part of the company.,True
162,202301491,2023,9,Supportive leadership and clear feedback make it easy to do great work. I feel proud to be part of the company.,True
163,202300888,2023,6,Training is available but time to actually use it is limited during peak delivery. Recent uncertainty in priorities makes the long-term direction feel less clear.,True
164,202300684,2023,7,Management practices feel inconsistent and feedback is often too late to be useful.,True
165,202300148,2023,10,"I appreciate the increased transparency from leadership on decisions and direction. Tools and logistics support delivery well, and the hybrid setup works smoothly. Overall, I would recommend Skapa without hesitation.",True
166,202300075,2023,8,Team spirit is strong and the atmosphere is friendly and supportive.,True
167,202300597,2023,8,I see real chances to progress based on merit and impact.,True
168,202301423,2023,6,,False
169,202301361,2023,8,,False
170,202300690,2023,5,Compensation has not kept pace with inflation and market benchmarks.,True
171,202301623,2023,8,I’m satisfied with my pay and the overall benefits package.,True
172,202300595,2023,6,I would like more regular coaching and clearer expectations from leadership.,True
173,202301275,2023,8,I see real chances to progress based on merit and impact.,True
174,202301039,2023,8,Career paths are becoming clearer and internal mobility feels realistic.,True
175,202300248,2023,8,Team spirit is strong and the atmosphere is friendly and supportive.,True
176,202300357,2023,7,Workload peaks can be intense and staffing feels tight on some projects. Compensation has not kept pace with inflation and market benchmarks.,True
177,202301644,2023,6,Sometimes the work feels less meaningful when priorities are driven mainly by utilization.,True
178,202300608,2023,6,The employer brand could be stronger to attract and retain top talent. I would like more regular coaching and clearer expectations from leadership.,True
179,202301267,2023,8,"The company feels stable and well-positioned in the market, with strong client demand. Compensation feels competitive for the market and responsibilities.",True
180,202300483,2023,6,Sometimes the work feels less meaningful when priorities are driven mainly by utilization. Compensation has not kept pace with inflation and market benchmarks.,True
181,202300015,2023,8,I appreciate the trust and autonomy; the management style feels genuinely empowering.,True
182,202300712,2023,8,"The company feels stable and well-positioned in the market, with strong client demand. I feel aligned with the values, especially inclusion, sustainability and fairness.",True
183,202300005,2023,5,,False
184,202301005,2023,8,,False
185,202300414,2023,8,I’m satisfied with my pay and the overall benefits package.,True
186,202300639,2023,8,"Cross-team collaboration is improving and it’s easier to work transversally. Onboarding and integration were smooth, and the team culture is welcoming.",True
187,202301025,2023,9,"Onboarding and integration were smooth, and the team culture is welcoming. I see real chances to progress based on merit and impact. Overall, I would recommend Skapa without hesitation.",True
188,202301385,2023,6,Decision-making can feel top-down and recognition for effort is not always there.,True
189,202300456,2023,8,,False
190,202301172,2023,6,,False
191,202301205,2023,9,,False
192,202300863,2023,8,Supportive leadership and clear feedback make it easy to do great work.,True
193,202300992,2023,7,The employer brand could be stronger to attract and retain top talent.,True
194,202301605,2023,9,"I’m satisfied with my pay and the overall benefits package. Overall, I would recommend Skapa without hesitation.",True
195,202301038,2023,6,,False
196,202300724,2023,7,Sometimes the work feels less meaningful when priorities are driven mainly by utilization. I worry about competitiveness and the pace of adapting to market changes.,True
197,202301023,2023,7,,False
198,202300017,2023,4,Recent uncertainty in priorities makes the long-term direction feel less clear. Pay progression feels slow compared with responsibilities and performance expectations. It would help to see concrete actions and follow-up.,True
199,202300047,2023,5,Sometimes the work feels less meaningful when priorities are driven mainly by utilization. Management practices feel inconsistent and feedback is often too late to be useful.,True
200,202300827,2023,8,Supportive leadership and clear feedback make it easy to do great work. Career paths are becoming clearer and internal mobility feels realistic.,True
201,202301164,2023,8,Compensation feels competitive for the market and responsibilities. Skapa remains attractive with interesting missions and a solid reputation.,True
202,202300373,2023,6,I worry about competitiveness and the pace of adapting to market changes. Team cohesion varies by project and it can feel isolating when switching assignments.,True
203,202300341,2023,7,Pay progression feels slow compared with responsibilities and performance expectations. Bench periods and project allocation could be handled more consistently.,True
204,202301777,2023,7,Management practices feel inconsistent and feedback is often too late to be useful.,True
205,202300045,2023,9,"Tools and logistics support delivery well, and the hybrid setup works smoothly. I feel proud to be part of the company.",True
206,202300251,2023,9,"Work conditions are good overall and hybrid work is handled pragmatically. Overall, I would recommend Skapa without hesitation.",True
207,202300582,2023,7,,False
208,202300594,2023,6,I would like more regular coaching and clearer expectations from leadership.,True
209,202301655,2023,7,,False
210,202301472,2023,5,The employer brand could be stronger to attract and retain top talent.,True
211,202300697,2023,10,"Work conditions are good overall and hybrid work is handled pragmatically. Compensation feels competitive for the market and responsibilities. Overall, I would recommend Skapa without hesitation.",True
212,202301363,2023,8,Client exposure and variety of missions are a real strength of consulting here.,True
213,202301844,2023,10,"Skapa remains attractive with interesting missions and a solid reputation. Overall, I would recommend Skapa without hesitation.",True
214,202301649,2023,9,"I appreciate the trust and autonomy; the management style feels genuinely empowering. Overall, I would recommend Skapa without hesitation.",True
215,202301054,2023,5,Decision-making can feel top-down and recognition for effort is not always there. The employer brand could be stronger to attract and retain top talent.,True
216,202301258,2023,7,,False
217,202300443,2023,6,,False
218,202300426,2023,7,Decision-making can feel top-down and recognition for effort is not always there.,True
219,202300508,2023,9,"Onboarding and integration were smooth, and the team culture is welcoming. Overall, I would recommend Skapa without hesitation.",True
220,202300134,2023,6,Workload peaks can be intense and staffing feels tight on some projects. Team cohesion varies by project and it can feel isolating when switching assignments.,True
221,202300909,2023,8,Supportive leadership and clear feedback make it easy to do great work. I can maintain a healthy balance most of the time and flexibility helps.,True
222,202300540,2023,7,,False
223,202301146,2023,7,Sometimes the work feels less meaningful when priorities are driven mainly by utilization.,True
224,202301323,2023,10,"I’m satisfied with my pay and the overall benefits package. Overall, I would recommend Skapa without hesitation.",True
225,202300943,2023,9,"Onboarding and integration were smooth, and the team culture is welcoming. Overall, I would recommend Skapa without hesitation.",True
226,202300074,2023,7,The employer brand could be stronger to attract and retain top talent.,True
227,202301167,2023,6,The employer brand could be stronger to attract and retain top talent.,True
228,202300547,2023,8,"Tools and logistics support delivery well, and the hybrid setup works smoothly.",True
229,202300273,2023,9,,False
230,202300615,2023,7,Compensation has not kept pace with inflation and market benchmarks. Training is available but time to actually use it is limited during peak delivery.,True
231,202300918,2023,8,"The company feels stable and well-positioned in the market, with strong client demand.",True
232,202301169,2023,10,"Skapa remains attractive with interesting missions and a solid reputation. Digital tools and processes are improving and make delivery more efficient. Overall, I would recommend Skapa without hesitation.",True
233,202300272,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming. Recognition and coaching are consistent, which helps me grow and perform.",True
234,202301367,2023,7,,False
235,202300396,2023,9,"Compensation feels competitive for the market and responsibilities. Overall, I would recommend Skapa without hesitation.",True
236,202300278,2023,6,,False
237,202300304,2023,6,I would like more structured development and transparency on growth opportunities. Compensation has not kept pace with inflation and market benchmarks.,True
238,202301784,2023,7,,False
239,202300351,2023,8,Learning opportunities and projects help me build strong consulting skills.,True
240,202301573,2023,10,"Onboarding and integration were smooth, and the team culture is welcoming. I feel proud to be part of the company.",True
241,202300927,2023,8,I can maintain a healthy balance most of the time and flexibility helps.,True
242,202301761,2023,8,I can maintain a healthy balance most of the time and flexibility helps.,True
243,202301569,2023,8,I can maintain a healthy balance most of the time and flexibility helps. I appreciate the trust and autonomy; the management style feels genuinely empowering.,True
244,202301500,2023,7,,False
245,202301266,2023,7,Compensation has not kept pace with inflation and market benchmarks.,True
246,202301849,2023,8,Supportive leadership and clear feedback make it easy to do great work. Digital tools and processes are improving and make delivery more efficient.,True
247,202301106,2023,8,,False
248,202301771,2023,9,"Onboarding and integration were smooth, and the team culture is welcoming. Work conditions are good overall and hybrid work is handled pragmatically. Overall, I would recommend Skapa without hesitation.",True
249,202300464,2023,6,,False
250,202300431,2023,9,"Onboarding and integration were smooth, and the team culture is welcoming. I feel proud to be part of the company.",True
251,202301680,2023,7,,False
252,202300784,2023,8,Team spirit is strong and the atmosphere is friendly and supportive.,True
253,202301873,2023,9,Team spirit is strong and the atmosphere is friendly and supportive. Career paths are becoming clearer and internal mobility feels realistic. I feel proud to be part of the company.,True
254,202300898,2023,8,I can maintain a healthy balance most of the time and flexibility helps.,True
255,202301336,2023,6,Recent uncertainty in priorities makes the long-term direction feel less clear.,True
256,202301438,2023,5,Training is available but time to actually use it is limited during peak delivery. Recent uncertainty in priorities makes the long-term direction feel less clear.,True
257,202301434,2023,7,Pay progression feels slow compared with responsibilities and performance expectations.,True
258,202300327,2023,10,"Learning opportunities and projects help me build strong consulting skills. Innovation and a forward-looking strategy make the business feel resilient. Overall, I would recommend Skapa without hesitation.",True
259,202301517,2023,7,Pay progression feels slow compared with responsibilities and performance expectations.,True
260,202300410,2023,5,"Career progression can feel unclear, especially around the criteria for promotion. Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk.",True
261,202301596,2023,10,,False
262,202301435,2023,10,Compensation feels competitive for the market and responsibilities. I feel proud to be part of the company.,True
263,202300968,2023,8,Compensation feels competitive for the market and responsibilities.,True
264,202301885,2023,10,"Onboarding and integration were smooth, and the team culture is welcoming. Overall, I would recommend Skapa without hesitation.",True
265,202300866,2023,5,"Career progression can feel unclear, especially around the criteria for promotion.",True
266,202301305,2023,8,"Recognition and coaching are consistent, which helps me grow and perform.",True
267,202300495,2023,5,Recent uncertainty in priorities makes the long-term direction feel less clear.,True
268,202301555,2023,7,Pay progression feels slow compared with responsibilities and performance expectations. The employer brand could be stronger to attract and retain top talent.,True
269,202300141,2023,6,I worry about competitiveness and the pace of adapting to market changes. Bench periods and project allocation could be handled more consistently.,True
270,202300401,2023,7,"Onboarding and integration were smooth, and the team culture is welcoming.",True
271,202300720,2023,6,Pay progression feels slow compared with responsibilities and performance expectations. Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk.,True
272,202300889,2023,8,Skapa remains attractive with interesting missions and a solid reputation.,True
273,202300754,2023,10,Supportive leadership and clear feedback make it easy to do great work. I feel proud to be part of the company.,True
274,202300876,2023,6,Team cohesion varies by project and it can feel isolating when switching assignments.,True
275,202301174,2023,7,,False
276,202301091,2023,7,Compensation has not kept pace with inflation and market benchmarks.,True
277,202301867,2023,8,I can maintain a healthy balance most of the time and flexibility helps. I see real chances to progress based on merit and impact.,True
278,202301859,2023,9,"I’m satisfied with my pay and the overall benefits package. Overall, I would recommend Skapa without hesitation.",True
279,202301130,2023,8,Compensation feels competitive for the market and responsibilities. The work feels meaningful because projects have clear impact for clients and society.,True
280,202300300,2023,7,,False
281,202301880,2023,8,Client exposure and variety of missions are a real strength of consulting here.,True
282,202301883,2023,10,"I can maintain a healthy balance most of the time and flexibility helps. Supportive leadership and clear feedback make it easy to do great work. Overall, I would recommend Skapa without hesitation.",True
283,202300701,2023,6,Training is available but time to actually use it is limited during peak delivery.,True
284,202300822,2023,7,"I would like more regular coaching and clearer expectations from leadership. I would like to see stronger action on inclusion and equity, not just messaging.",True
285,202300993,2023,10,"Onboarding and integration were smooth, and the team culture is welcoming. Overall, I would recommend Skapa without hesitation.",True
286,202300052,2023,9,I can maintain a healthy balance most of the time and flexibility helps. Digital tools and processes are improving and make delivery more efficient. I feel proud to be part of the company.,True
287,202300750,2023,6,,False
288,202300911,2023,7,,False
289,202300860,2023,10,"I see real chances to progress based on merit and impact. Overall, I would recommend Skapa without hesitation.",True
290,202300010,2023,9,"Skapa remains attractive with interesting missions and a solid reputation. Onboarding and integration were smooth, and the team culture is welcoming. I feel proud to be part of the company.",True
291,202301898,2023,10,"I appreciate the trust and autonomy; the management style feels genuinely empowering. I can maintain a healthy balance most of the time and flexibility helps. Overall, I would recommend Skapa without hesitation.",True
292,202300774,2023,9,"I feel aligned with the values, especially inclusion, sustainability and fairness. I feel proud to be part of the company.",True
293,202301184,2023,10,I’m satisfied with my pay and the overall benefits package. Career paths are becoming clearer and internal mobility feels realistic. I feel proud to be part of the company.,True
294,202300060,2023,7,Team spirit is strong and the atmosphere is friendly and supportive. Sometimes the work feels less meaningful when priorities are driven mainly by utilization.,True
295,202300307,2023,8,I can maintain a healthy balance most of the time and flexibility helps.,True
296,202301179,2023,7,"Onboarding and integration were smooth, and the team culture is welcoming. Work-life balance could improve; overtime can become the default during delivery.",True
297,202301545,2023,8,Digital tools and processes are improving and make delivery more efficient.,True
298,202300632,2023,8,"The company feels stable and well-positioned in the market, with strong client demand.",True
299,202301195,2023,7,Pay progression feels slow compared with responsibilities and performance expectations. I would like more structured development and transparency on growth opportunities.,True
300,202300167,2023,7,Sometimes the work feels less meaningful when priorities are driven mainly by utilization.,True
301,202300379,2023,10,Team spirit is strong and the atmosphere is friendly and supportive. I appreciate the trust and autonomy; the management style feels genuinely empowering. I feel proud to be part of the company.,True
302,202301216,2023,9,"The company feels stable and well-positioned in the market, with strong client demand. I feel proud to be part of the company.",True
303,202300149,2023,6,The employer brand could be stronger to attract and retain top talent.,True
304,202301504,2023,7,Recent uncertainty in priorities makes the long-term direction feel less clear. I would like more regular coaching and clearer expectations from leadership.,True
305,202300190,2023,9,"Compensation feels competitive for the market and responsibilities. The company feels stable and well-positioned in the market, with strong client demand. Overall, I would recommend Skapa without hesitation.",True
