survey_response_id,employee_scd_id,year,recommendation_rating,comment,has_comment,enps_category,sentiment
19,202301512,2023,8,The work feels meaningful because projects have clear impact for clients and society.,True,passive,positive
20,202300974,2023,10,"Onboarding and integration were smooth, and the team culture is welcoming. I feel proud to be part of the company.",True,promoter,positive
21,202300122,2023,8,I appreciate the increased transparency from leadership on decisions and direction. Innovation and a forward-looking strategy make the business feel resilient.,True,passive,positive
22,202301424,2023,8,,False,passive,
23,202301579,2023,9,,False,promoter,
24,202300995,2023,8,Compensation feels competitive for the market and responsibilities.,True,passive,positive
25,202300904,2023,10,"Team spirit is strong and the atmosphere is friendly and supportive. Recognition and coaching are consistent, which helps me grow and perform. I feel proud to be part of the company.",True,promoter,positive
26,202300513,2023,8,Learning opportunities and projects help me build strong consulting skills.,True,passive,positive
27,202300271,2023,9,"I feel aligned with the values, especially inclusion, sustainability and fairness. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
28,202300140,2023,9,Compensation feels competitive for the market and responsibilities. Skapa remains attractive with interesting missions and a solid reputation. I feel proud to be part of the company.,True,promoter,positive
29,202300319,2023,9,Team spirit is strong and the atmosphere is friendly and supportive. Supportive leadership and clear feedback make it easy to do great work. I feel proud to be part of the company.,True,promoter,positive
30,202300238,2023,8,I appreciate the trust and autonomy; the management style feels genuinely empowering.,True,passive,positive
31,202301325,2023,9,"Learning opportunities and projects help me build strong consulting skills. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
32,202300577,2023,8,Work conditions are good overall and hybrid work is handled pragmatically. I’m satisfied with my pay and the overall benefits package.,True,passive,positive
33,202300900,2023,8,I appreciate the trust and autonomy; the management style feels genuinely empowering. Client exposure and variety of missions are a real strength of consulting here.,True,passive,positive
34,202301246,2023,7,Decision-making can feel top-down and recognition for effort is not always there.,True,passive,negative
35,202300629,2023,5,Team cohesion varies by project and it can feel isolating when switching assignments.,True,detractor,negative
36,202300365,2023,6,,False,detractor,
37,202300123,2023,9,"Supportive leadership and clear feedback make it easy to do great work. Tools and logistics support delivery well, and the hybrid setup works smoothly. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
38,202300907,2023,9,,False,promoter,
39,202300672,2023,7,Management practices feel inconsistent and feedback is often too late to be useful.,True,passive,negative
40,202300696,2023,7,The employer brand could be stronger to attract and retain top talent. Sometimes the work feels less meaningful when priorities are driven mainly by utilization.,True,passive,to be determined
41,202300635,2023,10,Learning opportunities and projects help me build strong consulting skills. Cross-team collaboration is improving and it’s easier to work transversally. I feel proud to be part of the company.,True,promoter,positive
42,202300971,2023,9,"Work conditions are good overall and hybrid work is handled pragmatically. I appreciate the trust and autonomy; the management style feels genuinely empowering. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
43,202301288,2023,6,Management practices feel inconsistent and feedback is often too late to be useful.,True,detractor,negative
44,202300637,2023,9,"Recognition and coaching are consistent, which helps me grow and perform. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
45,202300413,2023,7,I worry about competitiveness and the pace of adapting to market changes. Some tools and processes are slow and create friction in day-to-day delivery.,True,passive,negative
46,202300870,2023,7,Decision-making can feel top-down and recognition for effort is not always there. Pay progression feels slow compared with responsibilities and performance expectations.,True,passive,negative
47,202301183,2023,8,Career paths are becoming clearer and internal mobility feels realistic.,True,passive,to be determined
48,202301429,2023,9,"I appreciate the increased transparency from leadership on decisions and direction. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
49,202300929,2023,7,Training is available but time to actually use it is limited during peak delivery. Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk.,True,passive,negative
50,202300033,2023,10,"Recognition and coaching are consistent, which helps me grow and perform. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
51,202300448,2023,7,,False,passive,
52,202301420,2023,9,I can maintain a healthy balance most of the time and flexibility helps. I’m satisfied with my pay and the overall benefits package. I feel proud to be part of the company.,True,promoter,positive
53,202301814,2023,8,Client exposure and variety of missions are a real strength of consulting here.,True,passive,positive
54,202300279,2023,9,,False,promoter,
55,202301638,2023,7,,False,passive,
56,202300523,2023,9,The work feels meaningful because projects have clear impact for clients and society. I see real chances to progress based on merit and impact. I feel proud to be part of the company.,True,promoter,positive
57,202301871,2023,6,Team cohesion varies by project and it can feel isolating when switching assignments.,True,detractor,negative
58,202301314,2023,9,Supportive leadership and clear feedback make it easy to do great work. I feel proud to be part of the company.,True,promoter,positive
59,202301369,2023,7,,False,passive,
60,202300381,2023,9,Work conditions are good overall and hybrid work is handled pragmatically. I feel proud to be part of the company.,True,promoter,positive
61,202301058,2023,7,"Onboarding and integration were smooth, and the team culture is welcoming.",True,passive,positive
62,202301057,2023,8,Compensation feels competitive for the market and responsibilities.,True,passive,positive
63,202301153,2023,5,Recent uncertainty in priorities makes the long-term direction feel less clear.,True,detractor,negative
64,202300344,2023,10,"Onboarding and integration were smooth, and the team culture is welcoming. I feel proud to be part of the company.",True,promoter,positive
65,202300773,2023,7,,False,passive,
66,202300002,2023,7,"Onboarding and integration were smooth, and the team culture is welcoming. Internal collaboration can feel siloed and handoffs between teams are not always smooth.",True,passive,negative
67,202301759,2023,6,Pay progression feels slow compared with responsibilities and performance expectations. Workload peaks can be intense and staffing feels tight on some projects.,True,detractor,negative
68,202301115,2023,6,Strategic priorities shift often and it can be hard to understand the direction. Pay progression feels slow compared with responsibilities and performance expectations.,True,detractor,negative
69,202300126,2023,8,Skapa remains attractive with interesting missions and a solid reputation.,True,passive,positive
70,202301613,2023,8,Compensation feels competitive for the market and responsibilities.,True,passive,positive
71,202301609,2023,9,"Recognition and coaching are consistent, which helps me grow and perform. Innovation and a forward-looking strategy make the business feel resilient. I feel proud to be part of the company.",True,promoter,positive
72,202300963,2023,7,Team spirit is strong and the atmosphere is friendly and supportive.,True,passive,positive
73,202300797,2023,8,,False,passive,
74,202300805,2023,7,,False,passive,
75,202301171,2023,8,"Team spirit is strong and the atmosphere is friendly and supportive. Recognition and coaching are consistent, which helps me grow and perform.",True,passive,positive
76,202301753,2023,5,I would like more structured development and transparency on growth opportunities.,True,detractor,negative
77,202301189,2023,10,I appreciate the trust and autonomy; the management style feels genuinely empowering. Innovation and a forward-looking strategy make the business feel resilient. I feel proud to be part of the company.,True,promoter,positive
78,202301718,2023,8,"Recognition and coaching are consistent, which helps me grow and perform.",True,passive,positive
79,202300228,2023,8,,False,passive,
80,202300843,2023,9,"I feel aligned with the values, especially inclusion, sustainability and fairness. Supportive leadership and clear feedback make it easy to do great work. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
81,202300187,2023,7,I would like more regular coaching and clearer expectations from leadership.,True,passive,negative
82,202300298,2023,7,"I would like more regular coaching and clearer expectations from leadership. Onboarding and integration were smooth, and the team culture is welcoming.",True,passive,to be determined
83,202301710,2023,7,"Career progression can feel unclear, especially around the criteria for promotion.",True,passive,negative
84,202300961,2023,7,"Decision-making can feel top-down and recognition for effort is not always there. Onboarding and integration were smooth, and the team culture is welcoming.",True,passive,negative
85,202300131,2023,7,,False,passive,
86,202301581,2023,9,"Digital tools and processes are improving and make delivery more efficient. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
87,202301253,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming.",True,passive,positive
88,202300270,2023,10,"Tools and logistics support delivery well, and the hybrid setup works smoothly. I feel proud to be part of the company.",True,promoter,positive
89,202300836,2023,9,"Supportive leadership and clear feedback make it easy to do great work. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
90,202300468,2023,6,Workload peaks can be intense and staffing feels tight on some projects.,True,detractor,negative
91,202300897,2023,9,I can maintain a healthy balance most of the time and flexibility helps. I feel proud to be part of the company.,True,promoter,positive
92,202301342,2023,9,Team spirit is strong and the atmosphere is friendly and supportive. I feel proud to be part of the company.,True,promoter,positive
93,202300287,2023,9,"Tools and logistics support delivery well, and the hybrid setup works smoothly. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
94,202301001,2023,7,,False,passive,
95,202301497,2023,7,Team spirit is strong and the atmosphere is friendly and supportive. Training is available but time to actually use it is limited during peak delivery.,True,passive,negative
96,202300023,2023,7,Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk. Decision-making can feel top-down and recognition for effort is not always there.,True,passive,negative
97,202300313,2023,7,,False,passive,
98,202300333,2023,8,Work conditions are good overall and hybrid work is handled pragmatically. I can maintain a healthy balance most of the time and flexibility helps.,True,passive,positive
99,202300224,2023,6,Team cohesion varies by project and it can feel isolating when switching assignments.,True,detractor,negative
100,202300058,2023,7,Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk. Decision-making can feel top-down and recognition for effort is not always there.,True,passive,negative
101,202300117,2023,7,I would like more regular coaching and clearer expectations from leadership. The values are stated clearly but not always reflected in day-to-day decisions.,True,passive,negative
102,202301076,2023,7,Decision-making can feel top-down and recognition for effort is not always there.,True,passive,negative
103,202301312,2023,7,Pay progression feels slow compared with responsibilities and performance expectations.,True,passive,negative
104,202301165,2023,9,"Team spirit is strong and the atmosphere is friendly and supportive. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
105,202300062,2023,9,There is a genuine commitment to responsible consulting and a respectful culture. I feel proud to be part of the company.,True,promoter,positive
106,202300752,2023,9,"The work feels meaningful because projects have clear impact for clients and society. Digital tools and processes are improving and make delivery more efficient. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
107,202301374,2023,9,,False,promoter,
108,202301671,2023,6,Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk. Compensation has not kept pace with inflation and market benchmarks.,True,detractor,negative
109,202301321,2023,8,I can maintain a healthy balance most of the time and flexibility helps.,True,passive,positive
110,202301123,2023,7,Team spirit is strong and the atmosphere is friendly and supportive. Bench periods and project allocation could be handled more consistently.,True,passive,to be determined
111,202300332,2023,7,"Compensation has not kept pace with inflation and market benchmarks. Onboarding and integration were smooth, and the team culture is welcoming.",True,passive,negative
112,202300768,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming. Cross-team collaboration is improving and it’s easier to work transversally.",True,passive,positive
113,202300539,2023,9,The work feels meaningful because projects have clear impact for clients and society. I’m satisfied with my pay and the overall benefits package. I feel proud to be part of the company.,True,promoter,positive
114,202300191,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming.",True,passive,positive
115,202300776,2023,7,"Onboarding and integration were smooth, and the team culture is welcoming. I would like more regular coaching and clearer expectations from leadership.",True,passive,to be determined
116,202301508,2023,7,Decision-making can feel top-down and recognition for effort is not always there.,True,passive,negative
117,202301407,2023,8,"The company feels stable and well-positioned in the market, with strong client demand.",True,passive,positive
118,202301470,2023,8,Career paths are becoming clearer and internal mobility feels realistic.,True,passive,to be determined
119,202300839,2023,6,Team cohesion varies by project and it can feel isolating when switching assignments.,True,detractor,negative
120,202300492,2023,9,"I appreciate the increased transparency from leadership on decisions and direction. Onboarding and integration were smooth, and the team culture is welcoming. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
121,202300685,2023,8,Team spirit is strong and the atmosphere is friendly and supportive.,True,passive,positive
122,202300891,2023,8,,False,passive,
123,202300544,2023,8,Cross-team collaboration is improving and it’s easier to work transversally.,True,passive,positive
124,202301062,2023,9,There is a genuine commitment to responsible consulting and a respectful culture. I feel proud to be part of the company.,True,promoter,positive
125,202301138,2023,8,Team spirit is strong and the atmosphere is friendly and supportive.,True,passive,positive
126,202300195,2023,10,Compensation feels competitive for the market and responsibilities. I feel proud to be part of the company.,True,promoter,positive
127,202300567,2023,8,,False,passive,
128,202300663,2023,6,Management practices feel inconsistent and feedback is often too late to be useful.,True,detractor,negative
129,202301458,2023,10,I see real chances to progress based on merit and impact. I feel proud to be part of the company.,True,promoter,positive
130,202300700,2023,7,Team spirit is strong and the atmosphere is friendly and supportive.,True,passive,positive
131,202301817,2023,8,Work conditions are good overall and hybrid work is handled pragmatically. Skapa remains attractive with interesting missions and a solid reputation.,True,passive,positive
132,202301684,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming.",True,passive,positive
133,202300086,2023,7,I worry about competitiveness and the pace of adapting to market changes. Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk.,True,passive,negative
134,202300535,2023,7,,False,passive,
135,202301548,2023,7,Management practices feel inconsistent and feedback is often too late to be useful.,True,passive,negative
136,202300987,2023,9,Skapa remains attractive with interesting missions and a solid reputation. I appreciate the trust and autonomy; the management style feels genuinely empowering. I feel proud to be part of the company.,True,promoter,positive
137,202300902,2023,6,Sometimes the work feels less meaningful when priorities are driven mainly by utilization.,True,detractor,negative
138,202301526,2023,7,Pay progression feels slow compared with responsibilities and performance expectations.,True,passive,negative
139,202301313,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming.",True,passive,positive
140,202300711,2023,9,"The company feels stable and well-positioned in the market, with strong client demand. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
141,202301858,2023,7,,False,passive,
142,202301311,2023,8,Career paths are becoming clearer and internal mobility feels realistic.,True,passive,to be determined
143,202301197,2023,9,"I appreciate the increased transparency from leadership on decisions and direction. The company feels stable and well-positioned in the market, with strong client demand. I feel proud to be part of the company.",True,promoter,positive
144,202300322,2023,6,Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk. I worry about competitiveness and the pace of adapting to market changes.,True,detractor,negative
145,202300704,2023,8,,False,passive,
146,202300503,2023,8,,False,passive,
147,202301781,2023,9,The work feels meaningful because projects have clear impact for clients and society. I feel proud to be part of the company.,True,promoter,positive
148,202300444,2023,7,Team spirit is strong and the atmosphere is friendly and supportive. Compensation has not kept pace with inflation and market benchmarks.,True,passive,to be determined
149,202301648,2023,9,Innovation and a forward-looking strategy make the business feel resilient. I feel proud to be part of the company.,True,promoter,positive
150,202300761,2023,7,Team spirit is strong and the atmosphere is friendly and supportive.,True,passive,positive
151,202301176,2023,7,"Career progression can feel unclear, especially around the criteria for promotion.",True,passive,negative
152,202300645,2023,8,Learning opportunities and projects help me build strong consulting skills.,True,passive,positive
153,202301604,2023,9,"Onboarding and integration were smooth, and the team culture is welcoming. I feel proud to be part of the company.",True,promoter,positive
154,202300359,2023,9,Client exposure and variety of missions are a real strength of consulting here. I appreciate the trust and autonomy; the management style feels genuinely empowering. I feel proud to be part of the company.,True,promoter,positive
155,202301170,2023,10,"Digital tools and processes are improving and make delivery more efficient. I can maintain a healthy balance most of the time and flexibility helps. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
156,202301353,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming.",True,passive,positive
157,202301047,2023,9,I’m satisfied with my pay and the overall benefits package. I feel proud to be part of the company.,True,promoter,positive
158,202300404,2023,8,The work feels meaningful because projects have clear impact for clients and society.,True,passive,positive
159,202300695,2023,7,Recent uncertainty in priorities makes the long-term direction feel less clear.,True,passive,negative
160,202301619,2023,6,Work-life balance could improve; overtime can become the default during delivery.,True,detractor,negative
161,202300171,2023,10,Supportive leadership and clear feedback make it easy to do great work. I’m satisfied with my pay and the overall benefits package. I feel proud to be part of the company.,True,promoter,positive
162,202301491,2023,9,Supportive leadership and clear feedback make it easy to do great work. I feel proud to be part of the company.,True,promoter,positive
163,202300888,2023,6,Training is available but time to actually use it is limited during peak delivery. Recent uncertainty in priorities makes the long-term direction feel less clear.,True,detractor,negative
164,202300684,2023,7,Management practices feel inconsistent and feedback is often too late to be useful.,True,passive,negative
165,202300148,2023,10,"I appreciate the increased transparency from leadership on decisions and direction. Tools and logistics support delivery well, and the hybrid setup works smoothly. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
166,202300075,2023,8,Team spirit is strong and the atmosphere is friendly and supportive.,True,passive,positive
167,202300597,2023,8,I see real chances to progress based on merit and impact.,True,passive,positive
168,202301423,2023,6,,False,detractor,
169,202301361,2023,8,,False,passive,
170,202300690,2023,5,Compensation has not kept pace with inflation and market benchmarks.,True,detractor,negative
171,202301623,2023,8,I’m satisfied with my pay and the overall benefits package.,True,passive,positive
172,202300595,2023,6,I would like more regular coaching and clearer expectations from leadership.,True,detractor,negative
173,202301275,2023,8,I see real chances to progress based on merit and impact.,True,passive,positive
174,202301039,2023,8,Career paths are becoming clearer and internal mobility feels realistic.,True,passive,to be determined
175,202300248,2023,8,Team spirit is strong and the atmosphere is friendly and supportive.,True,passive,positive
176,202300357,2023,7,Workload peaks can be intense and staffing feels tight on some projects. Compensation has not kept pace with inflation and market benchmarks.,True,passive,negative
177,202301644,2023,6,Sometimes the work feels less meaningful when priorities are driven mainly by utilization.,True,detractor,negative
178,202300608,2023,6,The employer brand could be stronger to attract and retain top talent. I would like more regular coaching and clearer expectations from leadership.,True,detractor,negative
179,202301267,2023,8,"The company feels stable and well-positioned in the market, with strong client demand. Compensation feels competitive for the market and responsibilities.",True,passive,positive
180,202300483,2023,6,Sometimes the work feels less meaningful when priorities are driven mainly by utilization. Compensation has not kept pace with inflation and market benchmarks.,True,detractor,negative
181,202300015,2023,8,I appreciate the trust and autonomy; the management style feels genuinely empowering.,True,passive,positive
182,202300712,2023,8,"The company feels stable and well-positioned in the market, with strong client demand. I feel aligned with the values, especially inclusion, sustainability and fairness.",True,passive,positive
183,202300005,2023,5,,False,detractor,
184,202301005,2023,8,,False,passive,
185,202300414,2023,8,I’m satisfied with my pay and the overall benefits package.,True,passive,positive
186,202300639,2023,8,"Cross-team collaboration is improving and it’s easier to work transversally. Onboarding and integration were smooth, and the team culture is welcoming.",True,passive,positive
187,202301025,2023,9,"Onboarding and integration were smooth, and the team culture is welcoming. I see real chances to progress based on merit and impact. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
188,202301385,2023,6,Decision-making can feel top-down and recognition for effort is not always there.,True,detractor,negative
189,202300456,2023,8,,False,passive,
190,202301172,2023,6,,False,detractor,
191,202301205,2023,9,,False,promoter,
192,202300863,2023,8,Supportive leadership and clear feedback make it easy to do great work.,True,passive,positive
193,202300992,2023,7,The employer brand could be stronger to attract and retain top talent.,True,passive,to be determined
194,202301605,2023,9,"I’m satisfied with my pay and the overall benefits package. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
195,202301038,2023,6,,False,detractor,
196,202300724,2023,7,Sometimes the work feels less meaningful when priorities are driven mainly by utilization. I worry about competitiveness and the pace of adapting to market changes.,True,passive,negative
197,202301023,2023,7,,False,passive,
198,202300017,2023,4,Recent uncertainty in priorities makes the long-term direction feel less clear. Pay progression feels slow compared with responsibilities and performance expectations. It would help to see concrete actions and follow-up.,True,detractor,negative
199,202300047,2023,5,Sometimes the work feels less meaningful when priorities are driven mainly by utilization. Management practices feel inconsistent and feedback is often too late to be useful.,True,detractor,negative
200,202300827,2023,8,Supportive leadership and clear feedback make it easy to do great work. Career paths are becoming clearer and internal mobility feels realistic.,True,passive,positive
201,202301164,2023,8,Compensation feels competitive for the market and responsibilities. Skapa remains attractive with interesting missions and a solid reputation.,True,passive,positive
202,202300373,2023,6,I worry about competitiveness and the pace of adapting to market changes. Team cohesion varies by project and it can feel isolating when switching assignments.,True,detractor,negative
203,202300341,2023,7,Pay progression feels slow compared with responsibilities and performance expectations. Bench periods and project allocation could be handled more consistently.,True,passive,negative
204,202301777,2023,7,Management practices feel inconsistent and feedback is often too late to be useful.,True,passive,negative
205,202300045,2023,9,"Tools and logistics support delivery well, and the hybrid setup works smoothly. I feel proud to be part of the company.",True,promoter,positive
206,202300251,2023,9,"Work conditions are good overall and hybrid work is handled pragmatically. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
207,202300582,2023,7,,False,passive,
208,202300594,2023,6,I would like more regular coaching and clearer expectations from leadership.,True,detractor,negative
209,202301655,2023,7,,False,passive,
210,202301472,2023,5,The employer brand could be stronger to attract and retain top talent.,True,detractor,negative
211,202300697,2023,10,"Work conditions are good overall and hybrid work is handled pragmatically. Compensation feels competitive for the market and responsibilities. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
212,202301363,2023,8,Client exposure and variety of missions are a real strength of consulting here.,True,passive,positive
213,202301844,2023,10,"Skapa remains attractive with interesting missions and a solid reputation. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
214,202301649,2023,9,"I appreciate the trust and autonomy; the management style feels genuinely empowering. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
215,202301054,2023,5,Decision-making can feel top-down and recognition for effort is not always there. The employer brand could be stronger to attract and retain top talent.,True,detractor,negative
216,202301258,2023,7,,False,passive,
217,202300443,2023,6,,False,detractor,
218,202300426,2023,7,Decision-making can feel top-down and recognition for effort is not always there.,True,passive,negative
219,202300508,2023,9,"Onboarding and integration were smooth, and the team culture is welcoming. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
220,202300134,2023,6,Workload peaks can be intense and staffing feels tight on some projects. Team cohesion varies by project and it can feel isolating when switching assignments.,True,detractor,negative
221,202300909,2023,8,Supportive leadership and clear feedback make it easy to do great work. I can maintain a healthy balance most of the time and flexibility helps.,True,passive,positive
222,202300540,2023,7,,False,passive,
223,202301146,2023,7,Sometimes the work feels less meaningful when priorities are driven mainly by utilization.,True,passive,negative
224,202301323,2023,10,"I’m satisfied with my pay and the overall benefits package. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
225,202300943,2023,9,"Onboarding and integration were smooth, and the team culture is welcoming. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
226,202300074,2023,7,The employer brand could be stronger to attract and retain top talent.,True,passive,to be determined
227,202301167,2023,6,The employer brand could be stronger to attract and retain top talent.,True,detractor,negative
228,202300547,2023,8,"Tools and logistics support delivery well, and the hybrid setup works smoothly.",True,passive,positive
229,202300273,2023,9,,False,promoter,
230,202300615,2023,7,Compensation has not kept pace with inflation and market benchmarks. Training is available but time to actually use it is limited during peak delivery.,True,passive,negative
231,202300918,2023,8,"The company feels stable and well-positioned in the market, with strong client demand.",True,passive,positive
232,202301169,2023,10,"Skapa remains attractive with interesting missions and a solid reputation. Digital tools and processes are improving and make delivery more efficient. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
233,202300272,2023,8,"Onboarding and integration were smooth, and the team culture is welcoming. Recognition and coaching are consistent, which helps me grow and perform.",True,passive,positive
234,202301367,2023,7,,False,passive,
235,202300396,2023,9,"Compensation feels competitive for the market and responsibilities. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
236,202300278,2023,6,,False,detractor,
237,202300304,2023,6,I would like more structured development and transparency on growth opportunities. Compensation has not kept pace with inflation and market benchmarks.,True,detractor,negative
238,202301784,2023,7,,False,passive,
239,202300351,2023,8,Learning opportunities and projects help me build strong consulting skills.,True,passive,positive
240,202301573,2023,10,"Onboarding and integration were smooth, and the team culture is welcoming. I feel proud to be part of the company.",True,promoter,positive
241,202300927,2023,8,I can maintain a healthy balance most of the time and flexibility helps.,True,passive,positive
242,202301761,2023,8,I can maintain a healthy balance most of the time and flexibility helps.,True,passive,positive
243,202301569,2023,8,I can maintain a healthy balance most of the time and flexibility helps. I appreciate the trust and autonomy; the management style feels genuinely empowering.,True,passive,positive
244,202301500,2023,7,,False,passive,
245,202301266,2023,7,Compensation has not kept pace with inflation and market benchmarks.,True,passive,negative
246,202301849,2023,8,Supportive leadership and clear feedback make it easy to do great work. Digital tools and processes are improving and make delivery more efficient.,True,passive,positive
247,202301106,2023,8,,False,passive,
248,202301771,2023,9,"Onboarding and integration were smooth, and the team culture is welcoming. Work conditions are good overall and hybrid work is handled pragmatically. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
249,202300464,2023,6,,False,detractor,
250,202300431,2023,9,"Onboarding and integration were smooth, and the team culture is welcoming. I feel proud to be part of the company.",True,promoter,positive
251,202301680,2023,7,,False,passive,
252,202300784,2023,8,Team spirit is strong and the atmosphere is friendly and supportive.,True,passive,positive
253,202301873,2023,9,Team spirit is strong and the atmosphere is friendly and supportive. Career paths are becoming clearer and internal mobility feels realistic. I feel proud to be part of the company.,True,promoter,positive
254,202300898,2023,8,I can maintain a healthy balance most of the time and flexibility helps.,True,passive,positive
255,202301336,2023,6,Recent uncertainty in priorities makes the long-term direction feel less clear.,True,detractor,negative
256,202301438,2023,5,Training is available but time to actually use it is limited during peak delivery. Recent uncertainty in priorities makes the long-term direction feel less clear.,True,detractor,negative
257,202301434,2023,7,Pay progression feels slow compared with responsibilities and performance expectations.,True,passive,negative
258,202300327,2023,10,"Learning opportunities and projects help me build strong consulting skills. Innovation and a forward-looking strategy make the business feel resilient. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
259,202301517,2023,7,Pay progression feels slow compared with responsibilities and performance expectations.,True,passive,negative
260,202300410,2023,5,"Career progression can feel unclear, especially around the criteria for promotion. Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk.",True,detractor,negative
261,202301596,2023,10,,False,promoter,
262,202301435,2023,10,Compensation feels competitive for the market and responsibilities. I feel proud to be part of the company.,True,promoter,positive
263,202300968,2023,8,Compensation feels competitive for the market and responsibilities.,True,passive,positive
264,202301885,2023,10,"Onboarding and integration were smooth, and the team culture is welcoming. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
265,202300866,2023,5,"Career progression can feel unclear, especially around the criteria for promotion.",True,detractor,negative
266,202301305,2023,8,"Recognition and coaching are consistent, which helps me grow and perform.",True,passive,positive
267,202300495,2023,5,Recent uncertainty in priorities makes the long-term direction feel less clear.,True,detractor,negative
268,202301555,2023,7,Pay progression feels slow compared with responsibilities and performance expectations. The employer brand could be stronger to attract and retain top talent.,True,passive,to be determined
269,202300141,2023,6,I worry about competitiveness and the pace of adapting to market changes. Bench periods and project allocation could be handled more consistently.,True,detractor,negative
270,202300401,2023,7,"Onboarding and integration were smooth, and the team culture is welcoming.",True,passive,positive
271,202300720,2023,6,Pay progression feels slow compared with responsibilities and performance expectations. Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk.,True,detractor,negative
